Document Distribution By Date,
Distribution: Yearly,
764 documents  From All Dates,
,
Date,Document Count
Start Date: 1 January 2015 End Date: 31 December 2015,167
Start Date: 1 January 2016 End Date: 31 December 2016,123
Start Date: 1 January 2017 End Date: 31 December 2017,214
Start Date: 1 January 2018 End Date: 31 December 2018,138
Start Date: 1 January 2019 End Date: 31 December 2019,122
,
,
Search Summary,
Text,(rst=sfnpr OR rst=wsjo OR rst=sfnyt) AND (electronic health records OR EHR OR health literacy OR health education OR accessible health)
Date,01/01/2015 to 12/31/2019
Source,All Publications Or All Web News
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,United States
Language,English
Results Found,764
Timestamp,12/4/24 09:55
"© 2024 Factiva, Inc.  All rights reserved.",